         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    6.4000    0.0000   10.9174   21.5855   31.7651   41.2356   49.8024   57.3007   63.5972   68.5896   72.2033     75.1170
    6.4500    0.0000   10.8677   21.4882   31.6238   41.0555   49.5894   57.0610   63.3370   68.3143   71.9180     74.8241
    6.5000    0.0000   10.8185   21.3916   31.4835   40.8765   49.3775   56.8224   63.0778   68.0401   71.6336     74.5319
    6.5500    0.0000   10.7696   21.2957   31.3442   40.6987   49.1669   56.5851   62.8197   67.7668   71.3501     74.2405
    6.6000    0.0000   10.7211   21.2005   31.2059   40.5220   48.9575   56.3490   62.5628   67.4946   71.0674     73.9499
    6.6500    0.0000   10.6729   21.1061   31.0685   40.3464   48.7493   56.1140   62.3069   67.2233   70.7857     73.6600
    6.7000    0.0000   10.6252   21.0123   30.9321   40.1720   48.5423   55.8802   62.0522   66.9530   70.5048     73.3709
    6.7500    0.0000   10.5777   20.9191   30.7965   39.9986   48.3364   55.6476   61.7985   66.6837   70.2248     73.0827
    6.8000    0.0000   10.5306   20.8267   30.6619   39.8263   48.1316   55.4161   61.5459   66.4154   69.9457     72.7952
    6.8500    0.0000   10.4839   20.7348   30.5282   39.6550   47.9280   55.1857   61.2944   66.1480   69.6675     72.5086
    6.9000    0.0000   10.4375   20.6436   30.3953   39.4847   47.7255   54.9565   61.0439   65.8817   69.3902     72.2228
    6.9500    0.0000   10.3914   20.5530   30.2633   39.3155   47.5241   54.7283   60.7945   65.6163   69.1139     71.9378
    7.0000    0.0000   10.3456   20.4630   30.1321   39.1473   47.3237   54.5012   60.5461   65.3520   68.8384     71.6537
    7.0500    0.0000   10.3001   20.3736   30.0017   38.9800   47.1245   54.2753   60.2989   65.0886   68.5639     71.3704
    7.1000    0.0000   10.2549   20.2848   29.8722   38.8137   46.9263   54.0504   60.0526   64.8262   68.2902     71.0880
    7.1500    0.0000   10.2101   20.1966   29.7434   38.6484   46.7291   53.8265   59.8074   64.5648   68.0176     70.8064
    7.2000    0.0000   10.1655   20.1089   29.6154   38.4840   46.5329   53.6037   59.5632   64.3043   67.7458     70.5258
    7.2500    0.0000   10.1212   20.0218   29.4882   38.3205   46.3378   53.3820   59.3200   64.0449   67.4750     70.2460
    7.3000    0.0000   10.0773   19.9353   29.3618   38.1580   46.1437   53.1613   59.0779   63.7864   67.2051     69.9671
    7.3500    0.0000   10.0335   19.8492   29.2361   37.9963   45.9506   52.9416   58.8368   63.5289   66.9361     69.6891
    7.4000    0.0000    9.9901   19.7637   29.1111   37.8356   45.7584   52.7229   58.5967   63.2724   66.6681     69.4119
    7.4500    0.0000    9.9469   19.6787   28.9869   37.6757   45.5672   52.5053   58.3576   63.0169   66.4010     69.1357
    7.5000    0.0000    9.9040   19.5943   28.8634   37.5167   45.3770   52.2886   58.1195   62.7624   66.1349     68.8604
    7.5500    0.0000    9.8614   19.5103   28.7406   37.3585   45.1877   52.0730   57.8824   62.5088   65.8697     68.5860
    7.6000    0.0000    9.8190   19.4268   28.6184   37.2012   44.9994   51.8583   57.6463   62.2562   65.6054     68.3126
    7.6500    0.0000    9.7769   19.3438   28.4970   37.0447   44.8120   51.6446   57.4112   62.0045   65.3421     68.0400
    7.7000    0.0000    9.7350   19.2613   28.3762   36.8890   44.6255   51.4319   57.1770   61.7538   65.0797     67.7683
    7.7500    0.0000    9.6934   19.1793   28.2561   36.7342   44.4399   51.2201   56.9438   61.5041   64.8183     67.4976
    7.8000    0.0000    9.6520   19.0977   28.1367   36.5801   44.2553   51.0093   56.7116   61.2554   64.5579     67.2278
    7.8500    0.0000    9.6109   19.0166   28.0179   36.4269   44.0715   50.7994   56.4804   61.0076   64.2983     66.9590
    7.9000    0.0000    9.5700   18.9359   27.8998   36.2744   43.8886   50.5905   56.2501   60.7608   64.0398     66.6910
    7.9500    0.0000    9.5293   18.8557   27.7822   36.1227   43.7066   50.3825   56.0208   60.5149   63.7821     66.4240
    8.0000    0.0000    9.4888   18.7760   27.6653   35.9718   43.5254   50.1754   55.7925   60.2700   63.5255     66.1580
    8.0500    0.0000    9.4486   18.6966   27.5490   35.8216   43.3451   49.9693   55.5650   60.0261   63.2697     65.8928
    8.1000    0.0000    9.4086   18.6177   27.4334   35.6722   43.1657   49.7641   55.3386   59.7831   63.0149     65.6286
    8.1500    0.0000    9.3688   18.5392   27.3183   35.5235   42.9871   49.5597   55.1130   59.5410   62.7611     65.3654
    8.2000    0.0000    9.3292   18.4612   27.2038   35.3755   42.8093   49.3563   54.8884   59.2999   62.5082     65.1031
    8.2500    0.0000    9.2899   18.3835   27.0899   35.2283   42.6324   49.1538   54.6648   59.0597   62.2562     64.8417
    8.3000    0.0000    9.2507   18.3063   26.9766   35.0818   42.4562   48.9521   54.4420   58.8205   62.0052     64.5813
    8.3500    0.0000    9.2118   18.2294   26.8639   34.9360   42.2809   48.7514   54.2202   58.5822   61.7552     64.3218
    8.4000    0.0000    9.1731   18.1530   26.7517   34.7909   42.1064   48.5515   53.9993   58.3449   61.5060     64.0632
    8.4500    0.0000    9.1345   18.0769   26.6401   34.6465   41.9327   48.3525   53.7793   58.1085   61.2579     63.8056
    8.5000    0.0000    9.0962   18.0013   26.5290   34.5028   41.7598   48.1543   53.5602   57.8730   61.0106     63.5490
    8.5500    0.0000    9.0581   17.9260   26.4185   34.3598   41.5877   47.9570   53.3420   57.6384   60.7643     63.2933
    8.6000    0.0000    9.0201   17.8511   26.3085   34.2175   41.4164   47.7606   53.1248   57.4048   60.5189     63.0385
    8.6500    0.0000    8.9824   17.7766   26.1991   34.0758   41.2458   47.5650   52.9084   57.1721   60.2745     62.7846
    8.7000    0.0000    8.9449   17.7024   26.0902   33.9348   41.0760   47.3703   52.6929   56.9403   60.0310     62.5317
    8.7500    0.0000    8.9075   17.6287   25.9818   33.7945   40.9070   47.1764   52.4783   56.7094   59.7884     62.2798
    8.8000    0.0000    8.8703   17.5552   25.8740   33.6548   40.7388   46.9833   52.2646   56.4794   59.5468     62.0288
    8.8500    0.0000    8.8333   17.4822   25.7666   33.5157   40.5712   46.7911   52.0517   56.2504   59.3061     61.7787
    8.9000    0.0000    8.7965   17.4095   25.6598   33.3773   40.4045   46.5996   51.8398   56.0223   59.0663     61.5296
    8.9500    0.0000    8.7599   17.3371   25.5535   33.2396   40.2384   46.4090   51.6287   55.7950   58.8275     61.2814
    9.0000    0.0000    8.7235   17.2651   25.4477   33.1025   40.0732   46.2193   51.4184   55.5687   58.5895     61.0341
    9.0500    0.0000    8.6872   17.1935   25.3424   32.9660   39.9086   46.0303   51.2091   55.3433   58.3525     60.7878
    9.1000    0.0000    8.6511   17.1222   25.2376   32.8301   39.7448   45.8421   51.0006   55.1187   58.1164     60.5424
    9.1500    0.0000    8.6152   17.0512   25.1332   32.6948   39.5817   45.6547   50.7929   54.8951   57.8812     60.2980
    9.2000    0.0000    8.5794   16.9806   25.0294   32.5602   39.4193   45.4682   50.5862   54.6723   57.6470     60.0544
    9.2500    0.0000    8.5439   16.9103   24.9260   32.4261   39.2576   45.2824   50.3802   54.4505   57.4136     59.8118
    9.3000    0.0000    8.5085   16.8403   24.8231   32.2927   39.0966   45.0974   50.1751   54.2295   57.1812     59.5702
    9.3500    0.0000    8.4732   16.7707   24.7207   32.1599   38.9363   44.9132   49.9709   54.0094   56.9496     59.3294
    9.4000    0.0000    8.4381   16.7013   24.6188   32.0276   38.7767   44.7297   49.7674   53.7902   56.7190     59.0896
    9.4500    0.0000    8.4032   16.6324   24.5173   31.8960   38.6179   44.5471   49.5649   53.5718   56.4893     58.8507
    9.5000    0.0000    8.3685   16.5637   24.4163   31.7649   38.4597   44.3652   49.3631   53.3544   56.2605     58.6127
    9.5500    0.0000    8.3339   16.4953   24.3157   31.6344   38.3022   44.1840   49.1622   53.1378   56.0325     58.3757
    9.6000    0.0000    8.2995   16.4273   24.2156   31.5045   38.1453   44.0037   48.9621   52.9220   55.8055     58.1396
    9.6500    0.0000    8.2652   16.3595   24.1159   31.3752   37.9892   43.8241   48.7628   52.7072   55.5794     57.9043
    9.7000    0.0000    8.2311   16.2921   24.0167   31.2464   37.8337   43.6452   48.5643   52.4932   55.3541     57.6700
    9.7500    0.0000    8.1972   16.2250   23.9180   31.1182   37.6789   43.4671   48.3667   52.2800   55.1298     57.4366
    9.8000    0.0000    8.1634   16.1582   23.8196   30.9906   37.5247   43.2897   48.1698   52.0677   54.9063     57.2041
    9.8500    0.0000    8.1297   16.0917   23.7217   30.8635   37.3712   43.1131   47.9738   51.8563   54.6837     56.9725
    9.9000    0.0000    8.0962   16.0254   23.6243   30.7370   37.2184   42.9372   47.7786   51.6457   54.4620     56.7419
    9.9500    0.0000    8.0629   15.9595   23.5273   30.6110   37.0662   42.7621   47.5841   51.4359   54.2411     56.5121
   10.0000    0.0000    8.0297   15.8939   23.4307   30.4856   36.9147   42.5877   47.3905   51.2270   54.0212     56.2832
   10.0500    0.0000    7.9967   15.8286   23.3345   30.3607   36.7638   42.4140   47.1976   51.0190   53.8021     56.0552
   10.1000    0.0000    7.9638   15.7635   23.2388   30.2363   36.6135   42.2410   47.0056   50.8117   53.5839     55.8281
   10.1500    0.0000    7.9311   15.6988   23.1434   30.1125   36.4639   42.0688   46.8143   50.6053   53.3665     55.6019
   10.2000    0.0000    7.8985   15.6343   23.0485   29.9892   36.3149   41.8973   46.6238   50.3998   53.1500     55.3766
   10.2500    0.0000    7.8660   15.5701   22.9540   29.8665   36.1666   41.7265   46.4341   50.1950   52.9344     55.1522
   10.3000    0.0000    7.8337   15.5062   22.8600   29.7443   36.0188   41.5564   46.2451   49.9911   52.7196     54.9287
   10.3500    0.0000    7.8015   15.4426   22.7663   29.6226   35.8717   41.3870   46.0570   49.7880   52.5057     54.7060
   10.4000    0.0000    7.7695   15.3793   22.6730   29.5014   35.7253   41.2183   45.8696   49.5858   52.2927     54.4843
   10.4500    0.0000    7.7376   15.3162   22.5801   29.3808   35.5794   41.0503   45.6829   49.3843   52.0804     54.2634
   10.5000    0.0000    7.7059   15.2534   22.4877   29.2606   35.4342   40.8830   45.4971   49.1837   51.8691     54.0433
   10.5500    0.0000    7.6743   15.1909   22.3956   29.1410   35.2895   40.7164   45.3119   48.9838   51.6586     53.8242
   10.6000    0.0000    7.6428   15.1287   22.3039   29.0219   35.1455   40.5505   45.1276   48.7848   51.4489     53.6059
   10.6500    0.0000    7.6115   15.0667   22.2127   28.9033   35.0021   40.3852   44.9440   48.5866   51.2400     53.3885
   10.7000    0.0000    7.5803   15.0050   22.1218   28.7852   34.8592   40.2207   44.7611   48.3891   51.0320     53.1719
   10.7500    0.0000    7.5492   14.9435   22.0313   28.6675   34.7170   40.0568   44.5790   48.1925   50.8249     52.9562
   10.8000    0.0000    7.5183   14.8824   21.9412   28.5504   34.5754   39.8936   44.3976   47.9967   50.6185     52.7414
   10.8500    0.0000    7.4875   14.8214   21.8515   28.4338   34.4343   39.7311   44.2170   47.8016   50.4130     52.5274
   10.9000    0.0000    7.4569   14.7608   21.7621   28.3177   34.2939   39.5693   44.0371   47.6074   50.2083     52.3143
   10.9500    0.0000    7.4263   14.7004   21.6732   28.2021   34.1540   39.4081   43.8580   47.4139   50.0044     52.1020
   11.0000    0.0000    7.3960   14.6403   21.5846   28.0869   34.0147   39.2476   43.6796   47.2212   49.8014     51.8906
   11.0500    0.0000    7.3657   14.5804   21.4964   27.9723   33.8760   39.0877   43.5019   47.0293   49.5991     51.6800
   11.1000    0.0000    7.3356   14.5208   21.4085   27.8581   33.7379   38.9286   43.3249   46.8382   49.3977     51.4702
   11.1500    0.0000    7.3056   14.4614   21.3211   27.7444   33.6004   38.7700   43.1486   46.6478   49.1971     51.2613
   11.2000    0.0000    7.2757   14.4023   21.2340   27.6312   33.4634   38.6121   42.9731   46.4582   48.9973     51.0532
   11.2500    0.0000    7.2459   14.3434   21.1473   27.5184   33.3270   38.4549   42.7983   46.2694   48.7982     50.8460
