     Tiempo (s)   Velocidad_real (m/s)   Velocidad_ruido (m/s)
       46.40000            62.74189284             62.51723674
       46.50000            62.74255076             62.30061156
       46.60000            62.74319840             63.97153180
       46.70000            62.74383593             64.25885135
       46.80000            62.74446349             61.68346120
       46.90000            62.74508125             61.59344477
       47.00000            62.74568936             62.19558596
       47.10000            62.74628796             58.14244563
       47.20000            62.74687721             59.71649509
       47.30000            62.74745725             65.48120579
       47.40000            62.74802823             66.03796366
       47.50000            62.74859029             62.25051821
       47.60000            62.74914357             63.90225750
       47.70000            62.74968820             63.37218851
       47.80000            62.75022432             68.90798594
       47.90000            62.75075207             64.98990189
       48.00000            62.75127157             62.49543638
       48.10000            62.75178295             60.84070207
       48.20000            62.75228634             59.53939370
       48.30000            62.75278187             63.15970914
       48.40000            62.75326965             61.24056816
       48.50000            62.75374981             59.90924239
       48.60000            62.75422247             61.46107670
       48.70000            62.75468774             60.59159174
       48.80000            62.75514575             66.12942902
       48.90000            62.75559660             64.51887611
       49.00000            62.75604040             62.74009512
       49.10000            62.75647727             65.71636555
       49.20000            62.75690731             62.91164393
       49.30000            62.75733063             61.03476223
       49.40000            62.75774734             65.80399550
       49.50000            62.75815754             63.83597763
       49.60000            62.75856133             60.68406902
       49.70000            62.75895881             62.37828145
       49.80000            62.75935008             61.00811357
       49.90000            62.75973523             59.99413577
       50.00000            62.76011437             64.61246946
       50.10000            62.76048758             66.57932086
       50.20000            62.76085496             59.96371982
       50.30000            62.76121660             63.88715508
       50.40000            62.76157260             61.46028746
       50.50000            62.76192302             61.78767226
       50.60000            62.76226798             61.57748013
       50.70000            62.76260754             61.03462600
       50.80000            62.76294180             62.85998505
       50.90000            62.76327083             61.10137060
       51.00000            62.76359472             63.30450838
       51.10000            62.76391356             62.66343734
       51.20000            62.76422741             62.28633131
       51.30000            62.76453635             60.94940903
       51.40000            62.76484047             61.61129781
       51.50000            62.76513984             64.27592229
       51.60000            62.76543453             63.76726891
       51.70000            62.76572462             60.81061413
       51.80000            62.76601017             62.96467478
       51.90000            62.76629126             64.26906551
       52.00000            62.76656796             59.42775740
       52.10000            62.76684034             63.85356072
       52.20000            62.76710845             61.44186094
       52.30000            62.76737239             63.90856972
       52.40000            62.76763219             61.24111388
       52.50000            62.76788794             59.15812374
       52.60000            62.76813969             59.51305481
       52.70000            62.76838751             62.86455740
       52.80000            62.76863145             63.28807646
       52.90000            62.76887159             60.96023834
       53.00000            62.76910797             64.04629288
       53.10000            62.76934066             59.44630053
       53.20000            62.76956971             62.63741011
       53.30000            62.76979518             60.34776278
       53.40000            62.77001713             61.46634492
       53.50000            62.77023561             62.86503296
       53.60000            62.77045068             61.04962395
       53.70000            62.77066239             62.00155130
       53.80000            62.77087079             64.78345641
       53.90000            62.77107593             61.61729220
       54.00000            62.77127787             64.44266210
       54.10000            62.77147666             60.51206295
       54.20000            62.77167233             63.83128069
       54.30000            62.77186495             65.65500219
       54.40000            62.77205456             57.82876556
       54.50000            62.77224121             61.17845070
       54.60000            62.77242494             63.92656920
       54.70000            62.77260580             62.36651503
       54.80000            62.77278384             63.51507558
       54.90000            62.77295909             61.56498872
       55.00000            62.77313160             62.94631118
       55.10000            62.77330142             62.46194695
       55.20000            62.77346859             65.10903271
       55.30000            62.77363314             63.28247483
       55.40000            62.77379512             63.44900045
       55.50000            62.77395457             61.95020064
       55.60000            62.77411153             61.79889909
       55.70000            62.77426604             61.90914967
       55.80000            62.77441813             63.56332242
       55.90000            62.77456785             61.93259889
       56.00000            62.77471523             63.35426494
       56.10000            62.77486030             66.92566190
       56.20000            62.77500311             64.51725252
       56.30000            62.77514369             62.12309662
       56.40000            62.77528207             65.17770991
       56.50000            62.77541828             61.95926754
       56.60000            62.77555237             58.69930330
       56.70000            62.77568437             60.75951175
       56.80000            62.77581430             59.03423046
       56.90000            62.77594220             62.07291523
       57.00000            62.77606810             62.81290486
       57.10000            62.77619204             66.12906666
       57.20000            62.77631404             63.43016879
       57.30000            62.77643413             62.33823307
       57.40000            62.77655235             64.43536351
       57.50000            62.77666872             58.35439810
       57.60000            62.77678327             63.24801239
       57.70000            62.77689603             64.31862642
       57.80000            62.77700703             59.81983454
       57.90000            62.77711630             65.06462438
       58.00000            62.77722385             63.45421667
       58.10000            62.77732973             61.94675390
       58.20000            62.77743395             64.04299769
       58.30000            62.77753655             67.31892226
       58.40000            62.77763754             63.14137005
       58.50000            62.77773695             63.27417813
       58.60000            62.77783481             61.85911301
       58.70000            62.77793114             61.07824241
       58.80000            62.77802597             64.43869760
       58.90000            62.77811931             61.06595166
       59.00000            62.77821120             62.92134367
       59.10000            62.77830165             61.82298676
       59.20000            62.77839069             63.73635034
       59.30000            62.77847833             63.44580254
       59.40000            62.77856461             64.85364450
       59.50000            62.77864954             61.75861674
       59.60000            62.77873314             62.23898327
       59.70000            62.77881543             60.82128800
       59.80000            62.77889644             61.89030992
       59.90000            62.77897618             63.53357717
       60.00000            62.77905468             64.29303191
       60.10000            62.77913195             60.93480130
       60.20000            62.77920802             64.51841986
       60.30000            62.77928289             65.49055861
       60.40000            62.77935659             63.60622640
       60.50000            62.77942915             66.53302077
