         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    9.5000    0.0000    8.3532   16.5338   24.3730   31.7098   38.3948   44.2925   49.2845   53.2715   56.1749     58.5251
    9.5500    0.0000    8.3187   16.4655   24.2725   31.5795   38.2373   44.1113   49.0835   53.0548   55.9467     58.2878
    9.6000    0.0000    8.2843   16.3975   24.1725   31.4496   38.0806   43.9310   48.8833   52.8389   55.7195     58.0514
    9.6500    0.0000    8.2501   16.3299   24.0729   31.3204   37.9245   43.7514   48.6840   52.6239   55.4932     57.8159
    9.7000    0.0000    8.2160   16.2625   23.9738   31.1917   37.7690   43.5725   48.4854   52.4098   55.2677     57.5814
    9.7500    0.0000    8.1821   16.1955   23.8751   31.0636   37.6143   43.3944   48.2877   52.1965   55.0432     57.3477
    9.8000    0.0000    8.1484   16.1287   23.7769   30.9360   37.4601   43.2170   48.0908   51.9841   54.8195     57.1150
    9.8500    0.0000    8.1148   16.0623   23.6791   30.8090   37.3067   43.0404   47.8947   51.7725   54.5968     56.8832
    9.9000    0.0000    8.0813   15.9962   23.5817   30.6826   37.1539   42.8645   47.6994   51.5618   54.3749     56.6523
    9.9500    0.0000    8.0480   15.9303   23.4848   30.5567   37.0018   42.6894   47.5049   51.3519   54.1539     56.4223
   10.0000    0.0000    8.0149   15.8647   23.3883   30.4313   36.8503   42.5150   47.3112   51.1429   53.9338     56.1932
   10.0500    0.0000    7.9819   15.7995   23.2922   30.3065   36.6994   42.3413   47.1183   50.9347   53.7145     55.9650
   10.1000    0.0000    7.9490   15.7345   23.1965   30.1822   36.5492   42.1683   46.9262   50.7274   53.4961     55.7378
   10.1500    0.0000    7.9163   15.6698   23.1012   30.0585   36.3996   41.9961   46.7349   50.5209   53.2786     55.5114
   10.2000    0.0000    7.8837   15.6054   23.0064   29.9353   36.2507   41.8245   46.5443   50.3152   53.0620     55.2859
   10.2500    0.0000    7.8513   15.5413   22.9120   29.8126   36.1024   41.6537   46.3545   50.1104   52.8462     55.0613
   10.3000    0.0000    7.8190   15.4774   22.8179   29.6904   35.9547   41.4836   46.1655   49.9064   52.6313     54.8376
   10.3500    0.0000    7.7869   15.4138   22.7243   29.5688   35.8076   41.3142   45.9773   49.7032   52.4173     54.6148
   10.4000    0.0000    7.7549   15.3506   22.6311   29.4476   35.6612   41.1455   45.7899   49.5009   52.2041     54.3928
   10.4500    0.0000    7.7231   15.2875   22.5383   29.3270   35.5153   40.9775   45.6032   49.2993   51.9918     54.1718
   10.5000    0.0000    7.6913   15.2248   22.4459   29.2070   35.3701   40.8102   45.4173   49.0986   51.7803     53.9516
   10.5500    0.0000    7.6598   15.1623   22.3539   29.0874   35.2255   40.6436   45.2321   48.8987   51.5696     53.7323
   10.6000    0.0000    7.6283   15.1001   22.2623   28.9683   35.0815   40.4777   45.0477   48.6995   51.3598     53.5139
   10.6500    0.0000    7.5970   15.0382   22.1711   28.8497   34.9381   40.3125   44.8641   48.5012   51.1509     53.2963
   10.7000    0.0000    7.5659   14.9765   22.0802   28.7317   34.7953   40.1479   44.6812   48.3037   50.9428     53.0796
   10.7500    0.0000    7.5348   14.9151   21.9898   28.6141   34.6531   39.9840   44.4990   48.1070   50.7355     52.8638
   10.8000    0.0000    7.5039   14.8540   21.8997   28.4970   34.5115   39.8209   44.3176   47.9111   50.5291     52.6489
   10.8500    0.0000    7.4732   14.7931   21.8100   28.3805   34.3705   39.6583   44.1370   47.7160   50.3234     52.4348
   10.9000    0.0000    7.4425   14.7325   21.7207   28.2644   34.2300   39.4965   43.9571   47.5217   50.1187     52.2215
   10.9500    0.0000    7.4120   14.6722   21.6318   28.1488   34.0902   39.3353   43.7779   47.3282   49.9147     52.0091
   11.0000    0.0000    7.3816   14.6121   21.5433   28.0337   33.9509   39.1748   43.5994   47.1354   49.7115     51.7976
   11.0500    0.0000    7.3514   14.5522   21.4551   27.9191   33.8123   39.0150   43.4217   46.9434   49.5092     51.5869
   11.1000    0.0000    7.3213   14.4926   21.3673   27.8049   33.6742   38.8558   43.2447   46.7522   49.3077     51.3770
   11.1500    0.0000    7.2913   14.4333   21.2799   27.6912   33.5366   38.6972   43.0684   46.5618   49.1070     51.1680
